City,Restaurant,Price,Avg ratings,Food type,Delivery time
Kolkata, Conclave At Afraa,850,3.9,"Italian,Indian,Continental",75
Pune, Hotel Rangda,200,2.9,Indian,63
Delhi, Kishori Lal Paan,100,4.4,"Paan,Beverages,Desserts",77
Kolkata, Momozon,200,3.9,"Chinese,Tibetan",58
Hyderabad, Sahadeva Reddy'S Biryani Durbar,250,4.1,"Biryani,Chinese,Indian",45
Kolkata,'@ Thala-E-Wah,200,2.9,"Indian,Chinese",69
Kolkata,'@69 Food Zone,200,3.8,"Fast Food,Indian,Chinese",69
Chennai,10 Downing Street,1000,4,"Indian,Continental,Tandoor",77
Kolkata,10 Downing Street,1000,4,"North Indian,Chinese,Continental",78
Ahmedabad,1000 Spicy,350,2.9,Indian,46
Bangalore,1131 Bar+Kitchen,1200,3.9,Indian,60
Ahmedabad,1441 Pizzeria,400,4.3,"Italian,Pizzas,Pastas,Fast Food,Desserts,Beverages",38
Hyderabad,1441 Pizzeria,400,4.1,"Italian,Pizzas,Pastas,Desserts,Beverages",33
Mumbai,1441 Pizzeria,500,3.9,Italian  Pizzas  Pastas  Desserts  Beverages,58
Pune,1441 Pizzeria,400,3.9,"Italian,Pizzas,Pastas,Desserts,Beverages",48
Surat,1441 Pizzeria,800,3.7,"Italian,Pizzas,Pastas,Fast Food,Desserts,Beverages",63
Mumbai,149@Biryani,200,2.9,Biryani  North Indian,59
Bangalore,154 Breakfast Club,1000,4.4,"Continental,American",61
Mumbai,180 Bistro,500,2.9,"Indian,Beverages,Biryani,Fast Food",58
Ahmedabad,1944 The Hocco Kitchen,450,4.4,"North Indian,Fast Food",33
Bangalore,1947 Restaurant,900,4.4,"North Indian,Chinese,Desserts,Biryani",60
Chennai,1By2,250,4.9,"Beverages,Snacks",79
Hyderabad,1D Cafe,200,3.7,Cafe,53
Hyderabad,2 Chefs Cafe,100,3.9,Snacks  Fast Food  Beverages,62
Mumbai,230 Celsius,1,4.1,Italian  Continental,60
Kolkata,24 Grains,500,4.2,"Indian,Chinese,Biryani,Tandoor,North Indian,Kebabs,Middle Eastern",66
Mumbai,24 Pizza Factory,400,2.9,Pizzas,53
Kolkata,24 Seven,200,4.2,"Chinese,Fast Food,Indian",72
Kolkata,24*7 Cafe,150,4.3,Snacks  Indian  Chinese,89
